CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2022-03-31;1;BCO BRASIL S.A.;001023;ITR;114798;2022-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=114798
00.000.000/0001-91;2022-06-30;1;BCO BRASIL S.A.;001023;ITR;119445;2022-08-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=119445
00.000.000/0001-91;2022-09-30;1;BCO BRASIL S.A.;001023;ITR;121573;2022-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=121573
00.000.208/0001-00;2022-03-31;1;BRB BCO DE BRASILIA S.A.;014206;ITR;115751;2022-05-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=115751
00.000.208/0001-00;2022-03-31;2;BRB BCO DE BRASILIA S.A.;014206;ITR;115762;2022-05-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=115762
00.000.208/0001-00;2022-03-31;3;BRB BCO DE BRASILIA S.A.;014206;ITR;116461;2022-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=116461
00.000.208/0001-00;2022-03-31;4;BRB BCO DE BRASILIA S.A.;014206;ITR;130860;2023-09-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130860
00.000.208/0001-00;2022-06-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;120416;2022-09-01;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=120416
00.000.208/0001-00;2022-06-30;2;BRB BCO DE BRASILIA S.A.;014206;ITR;120427;2022-09-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=120427
00.000.208/0001-00;2022-06-30;3;BRB BCO DE BRASILIA S.A.;014206;ITR;120646;2022-09-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=120646
00.000.208/0001-00;2022-06-30;4;BRB BCO DE BRASILIA S.A.;014206;ITR;130519;2023-08-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130519
00.000.208/0001-00;2022-09-30;1;BRB BCO DE BRASILIA S.A.;014206;ITR;122611;2022-12-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=122611
00.000.208/0001-00;2022-09-30;2;BRB BCO DE BRASILIA S.A.;014206;ITR;122613;2022-12-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=122613
00.000.208/0001-00;2022-09-30;3;BRB BCO DE BRASILIA S.A.;014206;ITR;122773;2022-12-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=122773
00.000.208/0001-00;2022-09-30;4;BRB BCO DE BRASILIA S.A.;014206;ITR;130861;2023-09-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=130861
00.001.180/0001-26;2022-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;115395;2022-05-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=115395
00.001.180/0001-26;2022-03-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;115800;2022-05-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=115800
